start-date-time,venue-name,event-name,city,tags,duration,venue-address
2019-03-08T21:30:00Z,monarch,the garden party w/ tara brooks // rachel torro // benjamin k,san francisco,"tech house, techno",WIP,101 6th st
2019-03-08T22:00:00Z,temple nightclub,cray,san francisco,"future bass, trap",WIP,540 howard st
2019-03-08T22:00:00Z,1015 folsom,valentino khan's house party,san francisco,electro house,WIP,1015 folsom st
2019-03-08T22:00:00Z,halcyon,bruno furlan and vnssa,san francisco,tech house,WIP,no match
2019-03-08T22:00:00Z,f8 1192 folsom,"robot ears: phase, lindsey herbert, sean ocean (live), mnml:fun",san francisco,"techno, minimal",WIP,1192 folsom
2019-03-09T06:00:00Z,the endup,"inside out presents the patio party season opener w/emanate, dean samaras, antonio manigrassi, lisa rose, vedda, cristoffer z",san francisco,"tech house, techno, deep house",WIP,401 6th st
2019-03-09T18:00:00Z,415 c st (galt),"animalistik 2019 ft arius, phiso, codd dubz, chime, irie mike, neonbunny, k2, empyral, mile high, haddit, ano b2b z-major",,"dubstep, trap",WIP,no match
2019-03-09T19:30:00Z,cornerstone,droeloe w/kidswaste,berkeley,"future bass, hip-hop, bass music, dubstep",WIP,no match
2019-03-09T20:00:00Z,the warfield,matoma,san francisco,tropical house,WIP,982 market st
2019-03-09T20:00:00Z,halcyon,headroom sf listening sessions,san francisco,music showcase,WIP,no match
2019-03-09T20:00:00Z,slim's,gravedgr,san francisco,"dubstep, trap",WIP,no match
2019-03-09T20:15:00Z,de anza college fujitsu planetarium (cupertino),laser electronic dance music,,"EDM, big room, big beat",WIP,no match
2019-03-09T20:30:00Z,the independent,luttrell,san francisco,progressive house,WIP,628 divisadero st
2019-03-09T21:00:00Z,the regency ballroom,cosmic gate,san francisco,"trance, progressive house",WIP,1300 van ness ave
2019-03-09T21:00:00Z,elbo room jack london,chasms + article collection + austin cesear + st djs,oakland,"live electronic, experimental, ambient",WIP,no match
2019-03-09T21:00:00Z,back bar sofa,"magnum dopeness feat defcon one, e-sassin, r.a.w.",san jose,"drum and bass, jungle",WIP,418 s market
2019-03-09T21:00:00Z,dna lounge,bootie sf: mardi gras mashquerade,san francisco,"big room, top 40, dress code",WIP,375 11th st
2019-03-09T21:00:00Z,hawthorn bonaparte room,gcode: san francisco's premier g-house party,san francisco,"bass house, tech house, g-house",WIP,46 geary st
2019-03-09T21:00:00Z,midtown barfly,"technosaic w/ juliet fox, snowdin, amicus, austin fox",sacramento,"techno, tech house",WIP,no match
2019-03-09T21:00:00Z,f8 1192 folsom,pulse sf 8 year anniversary w/ gaspard sangoma,san francisco,psytrance,WIP,1192 folsom
2019-03-09T21:30:00Z,dna lounge,"shredder 1984, dredd romero, danny delorean, pendaison",san francisco,"synthwave, new wave, electro",WIP,375 11th st
2019-03-09T21:30:00Z,the public works,j.phlip & lee reynolds,san francisco,"tech house, deep house, progressive house",WIP,161 erie st
2019-03-09T21:30:00Z,monarch,inquiry w/ evan casey (desert hearts),san francisco,"tech house, progressive house, techno",WIP,101 6th st
2019-03-09T21:30:00Z,the great northern,pig&dan,san francisco,"techno, tech house, deep house",WIP,119 utah st
2019-03-09T22:00:00Z,temple nightclub,fedde le grand,san francisco,electro house,WIP,540 howard st
2019-03-09T22:00:00Z,public works,electroluxx loft party,san francisco,"funky house, tech house",WIP,161 erie st
2019-03-09T22:00:00Z,f8,faultline - 5 year anniversary!,san francisco,breaks,WIP,1192 folsom
2019-03-09T22:00:00Z,halcyon,technasia and de la swing,san francisco,"tech house, deep house",WIP,no match
2019-03-09T22:00:00Z,tba (east bay),sick sad world w/ dj please,,"juke, drum and bass, donk, hardcore, garage",WIP,no match
2019-03-10T01:00:00Z,the endup,"rel8 saturday night afterhours feat. harry romero (nyc), taj & eddy santana",san francisco,house,WIP,401 6th st
2019-03-10T13:00:00Z,vintage synthesizer museum (emeryville),sunday soundbath,,ambient,WIP,no match
2019-03-10T13:00:00Z,halcyon,"honeypot: ampers&nd, emily fox, miss dre, pantz",san francisco,"tech house, electro house, techno",WIP,no match
2019-03-10T18:00:00Z,jolene's bar,"can you feel it!? avn (mphatiq + bakr), omna, christina t, qualafox, critical value, dj luv-le",san francisco,"tech house, progressive house, breaks",WIP,no match
2019-03-10T19:00:00Z,ace of spades,big wild,sacramento,"glitch-hop, synthpop, indie dance",WIP,no match
2019-03-10T20:00:00Z,elbo room jack london,dstr plus vandalaze,oakland,"synthpop, synthwave",WIP,no match
2019-03-10T21:00:00Z,monarch,werd. w/ lamache,san francisco,"funky house, deep house, disco",WIP,101 6th st
2019-03-10T22:00:00Z,the jam (arcata),"sundaze: austin allison, copperton3, lovehaus",,house,WIP,no match
2019-03-10T22:00:00Z,the stud,"the stud & romper room present sappho, one a, trevor sigler",san francisco,"funky house, tech house, breaks",WIP,399 9th st
2019-03-12T20:00:00Z,fox theater,james blake,oakland,"post-dubstep, r&b, soul, experimental",WIP,1807 telegraph ave
2019-03-12T20:00:00Z,the laundry,resident electronic music (march 2019),san francisco,"live electronic, open jam",WIP,no match
2019-03-12T20:00:00Z,republic bar & grill,bass therapy ft d3v & more,sacramento,dubstep,WIP,no match
2019-03-12T22:00:00Z,monarch,"soundpieces: grimecraft, danny delorean, sikkie",san francisco,"dubstep, trap, grime, hip-hop, footwork, juke, halftime drum and bass, house",WIP,101 6th st
2019-03-13T19:30:00Z,cornerstone,"liquid stranger - infinity tour w/lsdream, champagne drip, g-rex, lucii",berkeley,"dubstep, bass music",WIP,no match
2019-03-13T20:00:00Z,fox theater,james blake,oakland,"post-dubstep, r&b, soul, experimental",WIP,1807 telegraph ave
2019-03-13T20:30:00Z,motiv (santa cruz),a producers' social takeover: bosa (stephan jacobs & sunev),,"bass music, dubstep",WIP,1209 pacific ave
2019-03-13T21:00:00Z,f8 1192 folsom,"housepitality: osborn, carlos souffront, trevor sigler, nick moss",san francisco,"funky house, tech house, deep house",WIP,1192 folsom
2019-03-14T21:00:00Z,blondie's (davis),play - valentine's day edition w/zephyr,,EDM,WIP,no match
2019-03-14T21:00:00Z,dna lounge,sequence ft. riot,san francisco,dubstep,WIP,375 11th st
TKTKFri: Mar 15-Sun: Mar 17(Fri: 2pm-Sun: 5pm),tba (healdsburg),celtic chaos st patrick's day campout,,house,WIP,no match
2019-03-15T19:00:00Z,the warfield,nils frahm,san francisco,"experimental, live looping, ambient, classical",WIP,982 market st
2019-03-15T20:00:00Z,slim's,"liquid stranger w/lsdream, champagne drip, g-rex, lucii",san francisco,"dubstep, bass music",WIP,no match
2019-03-15T20:00:00Z,mezzanine,"dirtybird quarterly: christian martin, worthy, ardalan",san francisco,"tech house, funky house",WIP,444 jessie st
2019-03-15T20:00:00Z,tba,"pisces 2019: wichdokta, forest green, rob-ot, seventh sign v john connor",san francisco,"trance, psytrance",WIP,no match
2019-03-15T21:00:00Z,hopmonk tavern sebastopol (sebastopol),phutureprimitive,,"dubstep, future beats, glitch, bass music",WIP,230 petaluma ave
2019-03-15T21:30:00Z,monarch,"old school cool w/justin campbell, dink!, special guest, iwata, snee, b-rose",san francisco,"tech house, deep house",WIP,101 6th st
2019-03-15T22:00:00Z,love & propaganda,robin schulz,san francisco,tropical house,WIP,no match
2019-03-15T22:00:00Z,audio,breakbot (dj set),san francisco,"funk, disco, house",WIP,316 11th st
2019-03-15T22:00:00Z,temple nightclub,mk (marc kinchen),san francisco,house,WIP,540 howard st
2019-03-15T22:00:00Z,1015 folsom,maceo plex,san francisco,tech house,WIP,1015 folsom st
2019-03-16T13:00:00Z,the great northern,daft brunch,san francisco,"funky house, disco, french house",WIP,119 utah st
2019-03-16T16:00:00Z,on one studios,marquee madness - 1v1 house & hustle secretselection competition,san jose,house dance,WIP,no match
2019-03-16T19:00:00Z,the dhyana center (sebastopol),tea here now - conscious nightlife in action feat. unityvybe,,house,WIP,no match
2019-03-16T21:00:00Z,fulton 55 (fresno),gawp,,"tech house, jackin house",WIP,875 divisadero st
2019-03-16T21:00:00Z,brix 581,"friendship! friendship! w/ donald glaude, donald glaude, sonny daze, ernesto cruz, infusion , amber leigh",oakland,"funky house, tech house",WIP,581 5th st
2019-03-16T21:30:00Z,audio,alex cruz,san francisco,"deep house, progressive house",WIP,316 11th st
2019-03-16T21:30:00Z,public works,opel 17 year anniversary w/ stanton warriors & the scumfrog,san francisco,"breaks, bass house, electro house",WIP,161 erie st
2019-03-16T21:30:00Z,the great northern,"wormhole // yheti, nastynasty, potions & more",san francisco,"dubstep, glitch-hop, bass music",WIP,119 utah st
2019-03-16T21:30:00Z,monarch,house of face: dj harvey / eug / tommy guerrero / fraser cooke,san francisco,"house, techno, disco",WIP,101 6th st
2019-03-16T22:00:00Z,halcyon,oliver smith x dolby atmos,san francisco,trance,WIP,no match
